Player,Pos,Squad,Age,MP,Min,Gls,Ast,xG,SoT
Aymen Barkok,MF,Mainz 05,26.0,4,73,0,0,0.0,0
Harvey Barnes,FW,Newcastle Utd,26.0,33,1755,9,4,7.2,20
Enzo Barrenechea,MF,Valencia,23.0,30,2191,1,2,1.3,3
Ander Barrenetxea,"MF,FW",Real Sociedad,22.0,30,1263,1,3,1.6,8
Pablo Barrios,MF,Atlético Madrid,21.0,31,2330,1,4,1.3,8
Thierno Barry,FW,Villarreal,21.0,35,2323,11,4,12.5,24
Davide Bartesaghi,DF,Milan,18.0,4,118,0,0,0.0,1
Marc Bartra,DF,Betis,33.0,25,2099,2,1,1.2,5
Federico Baschirotto,DF,Lecce,27.0,38,3420,2,0,1.2,8
Daniele Baselli,MF,Como,32.0,2,22,0,0,0.0,0
Calvin Bassey,DF,Fulham,24.0,35,3074,1,0,1.0,4
Aboubacar Bassinga,MF,Las Palmas,19.0,1,4,0,0,0.0,0
Alessandro Bastoni,DF,Inter,25.0,32,2333,1,5,0.8,2
Augusto Batalla,GK,Rayo Vallecano,28.0,32,2880,0,0,0.0,0
Michy Batshuayi,FW,Eint Frankfurt,30.0,10,300,3,0,1.2,3
Dylan Batubinsika,DF,Saint-Étienne,28.0,25,2016,1,0,0.8,2
Maximilian Bauer,DF,Augsburg,24.0,11,658,0,0,0.2,1
Oliver Baumann,GK,Hoffenheim,34.0,28,2520,0,0,0.0,0
Christoph Baumgartner,MF,RB Leipzig,24.0,31,1610,2,1,4.5,15
Rafael Bauza,MF,Espanyol,19.0,5,183,0,0,0.1,0
Altay Bayındır,GK,Manchester Utd,26.0,4,360,0,0,0.0,0
Ihlas Bebou,MF,Hoffenheim,30.0,1,9,0,0,0.0,0
Adrian Beck,"MF,FW",Heidenheim,27.0,32,1598,4,1,3.3,13
Sheraldo Becker,"FW,MF",Real Sociedad,29.0,22,995,2,1,2.0,13
Timo Becker,DF,Holstein Kiel,27.0,30,2445,0,2,1.4,4
Jan Bednarek,DF,Southampton,28.0,30,2531,2,0,0.7,2
Donny van de Beek,MF,Girona,27.0,26,1421,2,2,1.5,5
Kevin Behrens,FW,Wolfsburg,33.0,18,170,1,0,2.3,3
Maximilian Beier,"FW,MF",Dortmund,21.0,29,1591,8,5,7.7,13
Luken Beitia,DF,Real Sociedad,20.0,1,8,0,0,0.0,0
Ismael Bekhoucha,"MF,DF",Getafe,19.0,5,69,0,0,0.0,0
Reda Belahyane,MF,Hellas Verona,20.0,22,1658,0,2,0.2,2
Reda Belahyane,MF,Lazio,20.0,6,198,0,0,0.0,0
Haris Belkebla,MF,Angers,30.0,22,1792,0,1,0.1,0
Yassin Belkhdim,MF,Angers,22.0,29,1523,1,1,0.8,5
Stefan Bell,DF,Mainz 05,32.0,18,1436,0,1,0.8,3
Armel Bella Kotchap,DF,Southampton,22.0,4,331,0,0,0.3,0
Raoul Bellanova,DF,Torino,24.0,1,87,0,0,0.0,0
Raoul Bellanova,DF,Atalanta,24.0,34,2402,0,9,1.1,5
Jean-Ricner Bellegarde,"MF,FW",Wolves,26.0,35,1677,2,7,1.5,5
Héctor Bellerín,DF,Betis,29.0,9,580,0,2,0.2,1
Jude Bellingham,MF,Real Madrid,21.0,31,2488,9,8,11.4,22
Jeanuël Belocian,"DF,MF",Leverkusen,19.0,5,68,0,0,0.0,0
Andrea Belotti,FW,Como,30.0,18,593,2,0,2.5,3
Fran Beltrán,MF,Celta Vigo,25.0,34,2421,2,1,1.0,4
Lucas Beltrán,"FW,MF",Fiorentina,23.0,32,1864,5,4,5.4,6
Eliesse Ben Seghir,"MF,FW",Monaco,19.0,33,1750,6,3,5.5,19
Carlos Benavídez,MF,Alavés,26.0,18,487,1,1,0.3,2
Adrian Benedyczak,"FW,MF",Parma,23.0,9,214,0,0,0.3,0
László Bénes,"MF,FW",Union Berlin,26.0,23,589,2,1,0.9,7
Iker Benito,"FW,MF",Osasuna,21.0,2,37,0,0,0.0,0
Ismaël Bennacer,MF,Milan,26.0,6,300,0,0,0.1,2
Ismaël Bennacer,MF,Marseille,26.0,12,646,0,2,0.1,0
Saïd Benrahma,"FW,MF",Lyon,28.0,13,735,1,3,2.0,4
Ramy Bensebaini,DF,Dortmund,29.0,31,2022,1,6,1.3,2
Nabil Bentaleb,MF,Lille,29.0,10,329,1,0,0.7,1
Rodrigo Bentancur,MF,Tottenham,27.0,26,1645,2,0,1.3,5
Daniel Bentley,GK,Wolves,31.0,2,180,0,0,0.0,0
Lucas Beraldo,DF,Paris S-G,20.0,25,2011,1,0,0.9,4
Yuri Berchiche,DF,Athletic Club,34.0,30,2044,0,2,0.6,4
Álex Berenguer,"FW,MF",Athletic Club,29.0,36,2339,6,7,6.8,18
Sander Berge,MF,Fulham,26.0,31,2224,0,0,0.4,1
Lucas Bergvall,MF,Tottenham,18.0,27,1212,0,1,0.7,2
Medon Berisha,MF,Lecce,20.0,17,716,0,1,0.7,6
Mergim Berisha,"FW,MF",Hoffenheim,26.0,11,333,1,1,1.0,3
Mergim Berisha,FW,Augsburg,26.0,2,40,0,0,0.2,1
Adrian Bernabe,MF,Parma,23.0,21,1453,1,1,1.3,5
Marc Bernal,MF,Barcelona,17.0,3,242,0,0,0.1,1
Bernardo,DF,Bochum,29.0,21,1782,0,0,0.7,2
Juan Bernat,"DF,MF",Villarreal,31.0,10,212,0,1,0.3,1
Juan Bernat,"MF,DF",Getafe,31.0,14,699,0,1,0.1,0
Maxime Bernauer,DF,Saint-Étienne,26.0,11,763,0,0,0.1,0
Antoine Bernede,MF,Hellas Verona,25.0,14,594,1,0,0.8,2
Alexander Bernhardsson,"FW,MF",Holstein Kiel,25.0,19,1263,7,2,4.1,14
Victor Bernth Kristiansen,DF,Leicester City,21.0,30,2482,0,1,0.3,0
Matúš Bero,MF,Bochum,28.0,30,2565,5,2,4.0,12
Juan Berrocal,DF,Getafe,25.0,19,1063,0,0,0.4,0
Dimitry Bertaud,GK,Montpellier,26.0,4,360,0,0,0.0,0
Jan-Niklas Beste,"FW,MF",Freiburg,25.0,12,212,0,1,0.9,2
Beto,FW,Everton,26.0,30,1534,8,0,8.2,23
Sam Beukema,DF,Bologna,25.0,35,3012,0,1,1.5,4
Alessandro Bianco,MF,Monza,21.0,34,2600,1,0,1.3,6
Alessandro Bianco,MF,Fiorentina,21.0,1,18,0,0,0.0,0
Mika Biereth,FW,Monaco,21.0,16,1228,13,2,11.3,22
Jaka Bijol,DF,Udinese,25.0,34,2963,1,0,2.0,6
El Bilal Touré,"FW,MF",Stuttgart,22.0,12,356,2,1,1.6,4
Philip Billing,MF,Bournemouth,28.0,10,184,0,0,0.6,1
Philip Billing,MF,Napoli,28.0,10,197,1,0,1.5,3
Cristiano Biraghi,DF,Torino,31.0,15,1158,0,0,0.5,1
Cristiano Biraghi,DF,Fiorentina,31.0,8,433,1,0,0.2,2
Samuele Birindelli,"DF,MF",Monza,25.0,21,1468,3,0,2.1,10
Tom Bischof,"MF,FW",Hoffenheim,19.0,31,2559,5,2,2.2,18
Yves Bissouma,MF,Tottenham,27.0,28,1408,2,0,0.6,4
Leonardo Bittencourt,MF,Werder Bremen,30.0,27,982,2,1,1.6,9
Emmanuel Biumla,DF,Angers,19.0,17,1336,1,0,0.7,2
Marco Bizot,GK,Brest,33.0,32,2880,0,0,0.0,0
Bjarki Bjarkason,"DF,MF",Venezia,24.0,9,165,0,0,0.0,0
Antonio Blanco,MF,Alavés,24.0,35,2727,0,1,0.8,3
Ludovic Blas,"MF,FW",Rennes,26.0,29,2293,6,8,5.0,26
Daley Blind,DF,Girona,34.0,34,2780,0,2,0.5,4
Myron Boadu,FW,Bochum,23.0,19,1042,9,1,7.7,13
Augustine Boakye,"FW,MF",Saint-Étienne,23.0,17,733,3,0,1.8,9
Oscar Bobb,FW,Manchester City,21.0,3,16,0,0,0.0,0
Mathéo Bodmer,MF,Le Havre,20.0,1,6,0,0,0.0,0
Sacha Boey,DF,Bayern Munich,23.0,13,593,0,2,0.1,1
Jeremie Boga,"MF,FW",Nice,27.0,21,1054,1,2,2.3,16
Lamare Bogarde,"DF,MF",Aston Villa,20.0,8,476,0,0,0.0,1
Emil Bohinen,MF,Genoa,25.0,3,166,0,0,0.1,0
Adama Boiro,"DF,FW",Athletic Club,22.0,18,1101,0,0,0.3,0
